 ,,,,,,,,
,,,,,Renekton Matchup Spreadsheet,,,
jax,,,,,,,,
,,,,,"This page will document each one of Renekton’s potential matchups within the entire game, telling you everything you need to know to win your match ups. Make sure to use CTRL F to find your matchup.",,,
,,,,,,,,
,,,,,https://www.youtube.com/watch?v=G7R0bLyOmpE&t=26s,,,
,,,,,"Make sure to check out my guide above if you want a timestamped guide for all toplane matchups, alongside infographics to help learn matchups!",,,
,,,,,,,,
Champion,Difficulty + Rating,Runes,Starting Items,Summoners,Ability Max Order,Match Up Summary,Detailed Notes,Video Examples
Aatrox,Medium - 5/10,PTA / Conq > Resolve / Inspiration,Doran's Blade / Doran's Shield,Ignite / Teleport / Ghost + Flash,Q > E > W,"The essence of this match up is essentially dodging Aatrox's Q sweet spots, avoiding his passive and playing for short trades to whittle his health down. Eventually when fighting Aatrox, try to force fights when he is 50% HP, as this threshold will allow you to kill him or force him into a tower diving situation. This match up heavily relies on the ability to sidestep his abilities, while also utilising  healing reduction through ignite or executioners to help weaken his laning and mid game power. Building burst items through Eclipse, Cleaver or BoTRK also help stat check and provide the damage needed to help keep him behind. Within skirmishes and teamfights, try to avoid  Aatrox getting kills through his R, as he can use it to reset his CD and keep up his R timer. When fighting Aatrox solo, try to also use your R to help you have the necessary damage and stats to overpower him. Later on you can potentially build DD to help weaken his overall dueling power..","(1) Level 1 Q Start - Try to push for level 2 advantage while poking Aatrox with your Q, on level 2 skill E/W use advantage to chunk out Aatrox. Try to avoid tanking Aatrox’s Q damage in the process by using short in and out clicks to bait them out.

(2) Dodge Aatrox’s Q's - The biggest aspect towards overpowering and beating Aatrox is trying to avoid his Q sweet spots. Try to abuse short clicks against Aatrox, by clicking in and out very fast. We can essentially avoid Aatrox’s Q1 and Q2 from doing this alone, allowing us to hold our E for his Q3. Being able to dodge Aatrox Q's is necessary in being able to win the match up. Be aware his CD will drastically lower through the game, so ensure that you remain confident with your movement to help avoid Aatrox’s overall threat level. 

(3) Avoid Aatrox’s W Pull - Aatrox W is by far one of his strongest abilities he has, mainly for the reason that his W slow sets up his Q hits. If done right, Aatrox’s W can also instantly cancel your E amid its animation, preventing you from escaping and pulling you back. Make sure to avoid using your E within the last second, using it earlier allows you to escape his potential Q hits as well as his ability to keep you in his range.

(4) Avoid Aatrox’s Passive Auto - Aatrox Passive is another underrated strength in this match up, as it allows him to deal damage based on his target’s maximum HP, while healing him up to 100% of the post mitigation damage dealt. When laning vs Aatrox, make sure to wait for him to use his passive, preventing him the ability to help stat check Renekton within a 1v1. Do note that each time Aatrox uses an auto attack or an ability, he lowers the overall CD of his passive’s 22 to 10 second CD by 2 seconds. If Aatrox hits his Q sweet spots, he’s able to drop the passive CD by 4 seconds for each individual sweet spot he hits. 

(5) Rush Antiheal - It's no secret how crazy Aatrox’s overall healing can be within a fight, so make sure you don’t avoid giving him any chances without grievous wounds. Simply take Ignite or rush an early Executioner’s to lower his overall sustain, as this is a giant powercut to Aatrox's survivability, which affects his passive, Q, Sundered Sky and R interactions. 

(6) Quick Trades - E > Q > AA  > W > AA > E Out / E > Q > W > E - These combos allow for Renekton to get quick damage off in being able to keep health up and whittling his opponent down, use these to get your laner low and look for a low HP kill with flash. 

(7) Play Waves Accordingly - Simply assess whether or not you want to play for freeze, to help you deny XP and CS, while presenting yourself more opportunities to create fights. Or, play to shove waves to create proxy angles, tempo resets or create a dive opportunity. Renekton has all the cards to do whatever he wants with wave management. Also respect that if your laner tries to proxy, simply proxy back or coordinate a kill on them with your jungler. 

(8) Abuse Renekton's R Powerspike - Having Renekton R within this match up essentially allows you to go toe to toe with Aatrox. Aatrox R is a giant powerspike in itself, however the consistent damage from Renekton R on top of the increased fury generation allows you to consistently overpower Aatrox if you're even or ahead. Try to always play around your R for all ins or if Aatrox is threatening an overextended fight.  

(9) Respect Aatrox's R Strength - Aatrox's R increases his attack damage from 20/30/40% AD, and his overall healing by 50/75/100%. Aatrox’s R can be absolutely monstrous in fights, allowing his R to continue an additional 5 seconds for killing enemy champions. When fighting Aatrox, either bait out his R if you want to force it out before teamfights or tower dives, or apply healing reduction against his R if you're committed to the all in.

(10) Build Plated Steelcaps, Eclipse, Black Cleaver or Death's Dance - Go Plated Steelcaps to lower Aatrox's overall damage and to utilise the movement speed vs Aatrox Q / Go Eclipse for consistent power through mid game and damage mitigation with the shield. / Go Black Cleaver for additional CDR and other versatile stats for utility based gameplay. / Go Death's Dance to hard counter Aatrox's Damage and overall healing. 

(11) Midgame + Teamfighting Tips - Within the mid game, Aatrox's spikes are considerably strong in skirmishes and teamfights. Try to lock Aatrox down and protect your carries from him landing his Q's. Aatrox is very easy to shut down in isolation, play off your W and your allies CC to easily shut him down. Before any major objectives, you can also try to catch him out in the side lane. If you’re strong enough to 1v1, make sure to kill him before any major objectives. Or if you have your teammates aside of you, simply focus him down to free up any map pressure he is creating, then look to force fights on his death timer.
",YouTube Video
Ahri,Hard - 9/10,PTA / Electrocute > Resolve,Doran's Shield,Teleport / Ignite + Flash,Q > E > W ,"The Ahri match up is very difficult due to her ability to easily contest wave pushes, having a mass use of utility to help teammates, and having the ability to easily deny Renekton’s trading patterns. As Renekton we must play around keeping our health up, while playing around our teammates to help get kills on Ahri, or roam the map to help obtain objectives and provide our utility on the map. Make sure to build more defensively and put your ego to the side to put your teammates first. If you try to fight Ahri, make sure to avoid your charm using your E, or look to burst her out and waste her R, providing you and your team more chances to have winning outcomes.","(1) Level 1 E Start - Try to cheese PTA proc or Conq with E1 > 3 auto's > disengage with E2.

(2) Play For Level 2/3 Kill Angle - Once you chunk out Ahri you're most likely able to kill her with your W, Dash or Flash up. Look to shove the wave around your kill timer, so you're able to make Ahri lose a lot more. 

(3) Play For Sustain Early - Ahri's laning phase is very oppressive early, try to outsustain Ahri through using Empowered Q and abusing D Shield + Second Wind. Make sure to play to keep your HP up, while having the objective to mana burn and cause Ahri to recall. Play for your teammates and item spikes to win and find relevance. 

(3) Avoid Ahri Charm - Ahri Charm is one of the most annoying abilities Renekton can deal with, as she can instantly cancel Renekton E if he engages directly into it. Try to always find ways to creatively bait it out, try to stand behind minions and look to dash or double dash behind her to avoid her charm, or E into her then quickly side step the incoming Ahri charm. Another way is to E in and quickly E out, as this will help you bait out a charm, allowing your teammates access to ganking her. Or with the same method, you can E behind her from E2 in that sequence, to dodge the incoming Ahri charm, allowing you to burn her R or allow you to heavy trade her.  . 

(4) Rush Merc Treads - This is very essential to rush in this match up, as this allows you to have an easier time tanking charms as well as Ahri's overall damage. Having the additional mobility from boots also helps you make faster plays  with E, on top of having the mobility to easily side step her abilities.  

(5) Play For Ganks - Ganks are pretty essential to obtain kills on Ahri. Ahri is a relatively boring statemate lane, so getting ganks from your teammates is going to be crucial in being able to force her out of lane to shove waves and get plates, or simply obtain kill gold in the ability to help you snowball and create a lead within the lane. 

(6) Play Wave On Your Side - Playing the wave on your side essentially means playing wave states on your side of the map, via abusing wave manipulation tactics or freezing on your side of the map. Simply use this to help you combo on your laner, taking away any space from them being able to trade you back (This also helps prevent the enemy running you down with their extended or sustained movement speed abilities). You can also use this wave state to run down your opponent with your abilities up, helping you obtain kills a lot easier vs stalemate or ranged match ups. Look to do this when your opponents are below 50% HP, or potentially make a mistake to provide you an all in opportunity to run them down. 

(7) Play For Teammates - As already mentioned there isn't a lot you can do vs a good Ahri, so simply play around your teammates to help them get in the game. Go towards objectives and try to gank side lanes to make sure you're able to create a gold lead for your own teammates. 

(8) Build Hexdrinker, Eclipse, Stridebreaker or Profane Hydra - Go Hexdrinker to lower Ahri’s overall damage and have a MR shield / Go Eclipse for consistent power through mid game and damage mitigation with the shield. / Go Stridebreaker to cripple Ahri’s mobility and provide teammates with additional utility. / Go Profane for full damage focused playstyles.

(9) Mid Game + Teamfighting Tips - Ahri's objective within the game is to enable her teammates in the ability to catch out her opponents, set up objective based plays, or simply trying to reach the backline and assassinate squishy carries. Renekton's job vs Ahri is to simply protect his teammates from her engages. Try to stun Ahri right away, doing this will lock her in place, allowing you or your teammates to instantly one shot her as fast as you can. Make sure to also tank any Ahri charms once you’re stated enough, as this can be used to peel against her incoming damage for your team.
",YouTube Video
